so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.3,23,2,2,1,2024-04-23 11:00,1,0.003,1,0.056
1,72,0.002,0.3,20,2,2,1,2024-04-23 10:00,1,0.003,1,0.056
1,73,0.002,0.3,19,2,2,1,2024-04-23 09:00,1,0.004,1,0.057
1,72,0.002,0.3,15,2,2,1,2024-04-23 08:00,1,0.004,1,0.056
1,70,0.002,0.3,16,2,2,1,2024-04-23 07:00,1,0.003,1,0.054
1,63,0.002,0.2,18,2,2,1,2024-04-23 06:00,1,0.002,1,0.046
1,52,0.002,0.2,18,2,2,1,2024-04-23 05:00,1,0.003,1,0.032
1,48,0.002,0.3,17,1,1,1,2024-04-23 04:00,1,0.002,1,0.029
1,51,0.002,0.3,19,2,2,1,2024-04-23 03:00,1,0.002,1,0.031
1,53,0.002,0.3,22,2,2,1,2024-04-23 02:00,1,0.003,1,0.033
1,53,0.002,0.2,12,2,2,1,2024-04-23 01:00,1,0.003,1,0.034
1,55,0.002,0.3,18,2,2,1,2024-04-22 24:00,1,0.003,1,0.036
1,57,0.002,0.3,20,2,2,1,2024-04-22 23:00,1,0.004,1,0.038
1,60,0.002,0.3,27,2,2,1,2024-04-22 22:00,1,0.004,1,0.042
1,63,0.002,0.3,20,2,2,1,2024-04-22 21:00,1,0.004,1,0.046
1,68,0.002,0.3,17,2,2,1,2024-04-22 20:00,1,0.003,1,0.051
1,68,0.002,0.2,17,2,2,1,2024-04-22 19:00,1,0.003,1,0.052
1,68,0.002,0.2,23,2,2,1,2024-04-22 18:00,1,0.003,1,0.052
1,68,0.002,0.3,24,2,2,1,2024-04-22 17:00,1,0.003,1,0.052
1,69,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.004,1,0.053
1,70,0.002,0.2,24,2,2,1,2024-04-22 15:00,1,0.003,1,0.054
1,69,0.002,0.2,29,2,2,1,2024-04-22 14:00,1,0.003,1,0.053
1,69,0.002,0.2,24,2,2,1,2024-04-22 13:00,1,0.003,1,0.053
