coFlag,khaiValue,so2Value,coValue,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,38,통신장애,통신장애,통신장애,2024-04-23 12:00,-,1,-,,,,,
통신장애,-,-,-,24,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,69,0.002,0.4,24,,,,2024-04-23 10:00,0.009,1,0.053,1,2,2,1,1
,63,0.002,0.4,22,,,,2024-04-23 09:00,0.009,1,0.046,1,2,2,1,1
,61,0.002,0.4,23,,,,2024-04-23 08:00,0.008,1,0.043,1,2,2,1,1
,61,0.002,0.4,25,,,,2024-04-23 07:00,0.006,1,0.043,1,2,2,1,1
,60,0.002,0.4,21,,,,2024-04-23 06:00,0.005,1,0.042,1,2,2,1,1
,60,0.002,0.4,15,,,,2024-04-23 05:00,0.004,1,0.042,1,2,2,1,1
,59,0.002,0.4,20,,,,2024-04-23 04:00,0.005,1,0.041,1,2,2,1,1
,55,0.002,0.4,24,,,,2024-04-23 03:00,0.005,1,0.036,1,2,2,1,1
,54,0.002,0.4,26,,,,2024-04-23 02:00,0.005,1,0.035,1,2,2,1,1
,54,0.002,0.4,24,,,,2024-04-23 01:00,0.006,1,0.035,1,2,2,1,1
,53,0.002,0.4,25,,,,2024-04-22 24:00,0.005,1,0.033,1,2,2,1,1
,51,0.002,0.4,28,,,,2024-04-22 23:00,0.007,1,0.031,1,2,2,1,1
,53,0.002,0.4,27,,,,2024-04-22 22:00,0.007,1,0.033,1,2,2,1,1
,56,0.002,0.4,29,,,,2024-04-22 21:00,0.007,2,0.037,1,2,2,1,1
,58,0.002,0.4,30,,,,2024-04-22 20:00,0.007,2,0.040,1,2,2,1,1
,60,0.002,0.4,31,,,,2024-04-22 19:00,0.007,2,0.042,1,2,2,1,1
,61,0.002,0.4,37,,,,2024-04-22 18:00,0.008,2,0.043,1,2,2,1,1
,63,0.002,0.4,30,,,,2024-04-22 17:00,0.009,2,0.045,1,2,2,1,1
,63,0.002,0.4,29,,,,2024-04-22 16:00,0.010,2,0.045,1,2,2,1,1
,63,0.002,0.4,33,,,,2024-04-22 15:00,0.009,2,0.046,1,2,2,1,1
,63,0.002,0.4,31,,,,2024-04-22 14:00,0.008,2,0.045,1,2,2,1,1
