so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,75,0.003,0.3,22,2,2,1,2024-04-23 11:00,1,0.005,1,0.060
1,70,0.003,0.3,20,2,2,1,2024-04-23 10:00,1,0.007,1,0.054
1,66,0.003,0.3,22,2,2,1,2024-04-23 09:00,1,0.010,1,0.049
1,62,0.003,0.3,22,2,2,1,2024-04-23 08:00,1,0.011,1,0.044
1,62,0.003,0.3,25,2,2,1,2024-04-23 07:00,1,0.010,1,0.044
1,58,0.003,0.3,25,2,2,1,2024-04-23 06:00,1,0.011,1,0.040
1,57,0.003,0.3,19,2,2,1,2024-04-23 05:00,1,0.009,1,0.038
1,61,0.003,0.3,17,2,2,1,2024-04-23 04:00,1,0.005,1,0.043
1,63,0.003,0.3,15,2,2,1,2024-04-23 03:00,1,0.006,1,0.046
1,66,0.003,0.3,17,2,2,1,2024-04-23 02:00,1,0.005,1,0.049
1,63,0.003,0.3,21,2,2,1,2024-04-23 01:00,1,0.007,1,0.045
1,65,0.003,0.3,22,2,2,1,2024-04-22 24:00,1,0.006,1,0.048
1,66,0.003,0.3,26,2,2,1,2024-04-22 23:00,1,0.006,1,0.049
1,67,0.003,0.3,29,2,2,1,2024-04-22 22:00,1,0.006,1,0.050
1,71,0.003,0.3,31,2,2,1,2024-04-22 21:00,1,0.006,1,0.055
1,73,0.003,0.3,32,2,2,1,2024-04-22 20:00,1,0.007,1,0.057
1,75,0.003,0.3,32,2,2,1,2024-04-22 19:00,1,0.006,1,0.060
1,76,0.003,0.3,29,2,2,1,2024-04-22 18:00,1,0.006,1,0.061
1,77,0.003,0.3,28,2,2,1,2024-04-22 17:00,1,0.005,1,0.062
1,77,0.003,0.3,24,2,2,1,2024-04-22 16:00,1,0.006,1,0.062
1,77,0.003,0.3,24,2,2,1,2024-04-22 15:00,1,0.005,1,0.062
1,76,0.003,0.3,25,2,2,1,2024-04-22 14:00,1,0.005,1,0.061
1,77,0.003,0.3,26,2,2,1,2024-04-22 13:00,1,0.005,2,0.062
