so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.2,28,2,2,1,2024-04-23 11:00,1,0.005,1,0.056
1,70,0.002,0.3,25,2,2,1,2024-04-23 10:00,1,0.006,1,0.054
1,69,0.001,0.3,26,2,2,1,2024-04-23 09:00,1,0.006,1,0.053
1,68,0.002,0.2,24,2,2,1,2024-04-23 08:00,1,0.007,1,0.052
1,68,0.002,0.2,20,2,2,1,2024-04-23 07:00,1,0.007,1,0.052
1,71,0.002,0.2,20,2,2,1,2024-04-23 06:00,1,0.005,1,0.055
1,73,0.002,0.2,19,2,2,1,2024-04-23 05:00,1,0.004,1,0.057
1,73,0.002,0.2,19,2,2,1,2024-04-23 04:00,1,0.005,1,0.058
1,73,0.002,0.2,21,2,2,1,2024-04-23 03:00,1,0.004,1,0.058
1,73,0.002,0.2,22,2,2,1,2024-04-23 02:00,1,0.004,1,0.057
1,72,0.002,0.2,23,2,2,1,2024-04-23 01:00,1,0.004,1,0.056
1,71,0.001,0.2,28,2,2,1,2024-04-22 24:00,1,0.004,2,0.055
1,69,0.002,0.2,28,2,2,1,2024-04-22 23:00,1,0.006,2,0.053
1,69,0.002,0.3,33,2,2,1,2024-04-22 22:00,1,0.007,2,0.053
1,69,0.002,0.3,34,2,2,1,2024-04-22 21:00,1,0.008,2,0.053
1,70,0.002,0.3,32,2,2,1,2024-04-22 20:00,1,0.009,2,0.054
1,73,0.001,0.3,29,2,2,1,2024-04-22 19:00,1,0.008,2,0.057
1,76,0.002,0.2,32,2,2,1,2024-04-22 18:00,1,0.006,2,0.061
1,78,0.002,0.3,30,2,2,1,2024-04-22 17:00,1,0.007,2,0.063
1,77,0.002,0.3,28,2,2,1,2024-04-22 16:00,1,0.006,2,0.062
1,76,0.002,0.3,32,2,2,1,2024-04-22 15:00,1,0.007,2,0.061
1,76,0.002,0.3,37,2,2,1,2024-04-22 14:00,1,0.006,2,0.061
1,73,0.002,0.3,39,2,2,1,2024-04-22 13:00,1,0.006,2,0.057
